metric,label,category,n,mean,sd,median,min,max,mean_sd
right_eye_aperture_index,Right eye aperture index,Eye geometry,1,0.4100139184230413,0.0,0.4100139184230413,0.4100139184230413,0.4100139184230413,0.410 +/- 0.000
left_eye_aperture_index,Left eye aperture index,Eye geometry,1,0.396082752989775,0.0,0.396082752989775,0.396082752989775,0.396082752989775,0.396 +/- 0.000
mean_eye_aperture_index,Mean eye aperture index,Eye geometry,1,0.4030483357064082,0.0,0.4030483357064082,0.4030483357064082,0.4030483357064082,0.403 +/- 0.000
eye_aperture_asymmetry_index,Eye aperture asymmetry index,Eye geometry,1,0.0139311654332662,0.0,0.0139311654332662,0.0139311654332662,0.0139311654332662,0.014 +/- 0.000
nose_width_face_width_index,Nose-width/face-width index,Face ratio,1,0.2102689246644633,0.0,0.2102689246644633,0.2102689246644633,0.2102689246644633,0.210 +/- 0.000
mouth_width_face_width_index,Mouth-width/face-width index,Face ratio,1,0.2861020085963704,0.0,0.2861020085963704,0.2861020085963704,0.2861020085963704,0.286 +/- 0.000
jaw_width_face_width_index,Jaw-width/face-width index,Face ratio,1,0.7366643934281379,0.0,0.7366643934281379,0.7366643934281379,0.7366643934281379,0.737 +/- 0.000
eyeBlinkLeft,Left eye blink score,MediaPipe blendshape,1,0.0221334546804428,0.0,0.0221334546804428,0.0221334546804428,0.0221334546804428,0.022 +/- 0.000
eyeBlinkRight,Right eye blink score,MediaPipe blendshape,1,0.0077612525783479,0.0,0.0077612525783479,0.0077612525783479,0.0077612525783479,0.008 +/- 0.000
